source,target,weight
engineering principles,mechanics,33
engineering principles,mechanics of vessels,6
engineering principles,"mining, construction and civil engineering machinery products",9
engineering principles,multimedia systems,8
engineering principles,operate scientific measuring equipment,11
engineering principles,perform data analysis,11
engineering principles,perform scientific research,88
engineering principles,physics,23
engineering principles,prepare production prototypes,14
engineering principles,production processes,22
engineering principles,project management,14
engineering principles,provide technical documentation,6
engineering principles,quality standards,10
engineering principles,read engineering drawings,37
engineering principles,read standard blueprints,7
engineering principles,record test data,20
engineering principles,report analysis results,13
engineering principles,technical drawings,79
engineering principles,troubleshoot,25
engineering principles,types of pipelines,6
engineering principles,use CAD software,12
engineering principles,use CADD software,7
engineering principles,use a computer,16
engineering principles,use computer-aided engineering systems,12
engineering principles,use technical drawing software,81
engineering processes,CAE software,17
engineering processes,ICT software specifications,11
engineering processes,aircraft mechanics,10
engineering processes,analyse test data,10
engineering processes,apply health and safety standards,6
engineering processes,assess environmental impact,7
engineering processes,assess financial viability,14
engineering processes,chemistry,8
engineering processes,civil engineering,13
engineering processes,collaborate with engineers,7
engineering processes,common aviation safety regulations,8
engineering processes,conduct performance tests,13
engineering processes,create solutions to problems,21
engineering processes,define technical requirements,15
engineering processes,diagnose defective engines,7
engineering processes,electrical engineering,12
engineering processes,electrical power safety regulations,6
engineering processes,electromechanics,12
engineering processes,electronics,6
engineering processes,energy,9
engineering processes,energy market,7
engineering processes,engine components,12
engineering processes,ensure compliance with environmental legislation,15
engineering processes,ensure compliance with safety legislation,19
engineering processes,ensure vessel compliance with regulations,6
engineering processes,evaluate engine performance,10
engineering processes,examine engineering principles,7
engineering processes,execute analytical mathematical calculations,27
engineering processes,execute feasibility study,16
engineering processes,hydraulics,6
engineering processes,industrial engineering,19
engineering processes,inspect quality of products,11
engineering processes,interpret technical requirements,12
engineering processes,liaise with engineers,16
engineering processes,manage engineering project,18
engineering processes,manage health and safety standards,13
engineering processes,manufacturing processes,26
engineering processes,material mechanics,8
engineering processes,mathematics,38
engineering processes,mechanical engineering,23
engineering processes,mechanics,46
engineering processes,mechanics of vessels,9
engineering processes,"mining, construction and civil engineering machinery products",10
engineering processes,multimedia systems,8
engineering processes,operate precision measuring equipment,12
engineering processes,operation of different engines,9
engineering processes,perform scientific research,75
engineering processes,physics,12
engineering processes,production processes,22
engineering processes,project management,13
engineering processes,provide technical documentation,6
engineering processes,quality assurance procedures,11
engineering processes,quality standards,13
engineering processes,read engineering drawings,43
engineering processes,read standard blueprints,21
engineering processes,record test data,15
engineering processes,technical drawings,78
engineering processes,troubleshoot,26
engineering processes,use CAD software,12
engineering processes,use CADD software,7
engineering processes,use a computer,16
engineering processes,use computer-aided engineering systems,12
engineering processes,use technical documentation,17
engineering processes,use technical drawing software,74
engineering processes,use testing equipment,14
engineering processes,write inspection reports,9
execute feasibility study,assess financial viability,11
execute feasibility study,define technical requirements,7
execute feasibility study,industrial engineering,7
execute feasibility study,manufacturing processes,9
execute feasibility study,mathematics,11
execute feasibility study,mechanical engineering,9
execute feasibility study,mechanics,9
execute feasibility study,perform scientific research,18
execute feasibility study,production processes,9
execute feasibility study,technical drawings,18
execute feasibility study,troubleshoot,7
execute feasibility study,use CAD software,6
execute feasibility study,use technical drawing software,17
industrial engineering,manufacturing processes,20
industrial engineering,mathematics,8
industrial engineering,mechanical engineering,6
industrial engineering,mechanics,6
industrial engineering,perform scientific research,19
industrial engineering,production processes,20
industrial engineering,quality standards,7
industrial engineering,read engineering drawings,7
industrial engineering,technical drawings,19
industrial engineering,troubleshoot,8
industrial engineering,use CAD software,6
industrial engineering,use technical drawing software,19
liaise with engineers,CAE software,13
liaise with engineers,ICT software specifications,10
liaise with engineers,align components,16
liaise with engineers,assist scientific research,15
liaise with engineers,circuit diagrams,8
liaise with engineers,electrical engineering,6
liaise with engineers,electronic equipment standards,6
liaise with engineers,electronics,10
liaise with engineers,execute analytical mathematical calculations,11
liaise with engineers,fasten components,16
liaise with engineers,inspect quality of products,15
liaise with engineers,manual draughting techniques,7
liaise with engineers,material mechanics,6
liaise with engineers,mathematics,21
liaise with engineers,mechanical engineering,8
liaise with engineers,mechanics,14
liaise with engineers,meet deadlines,6
liaise with engineers,multimedia systems,7
liaise with engineers,perform test run,9
liaise with engineers,physics,9
liaise with engineers,prepare production prototypes,15
liaise with engineers,read assembly drawings,9
liaise with engineers,read engineering drawings,30
liaise with engineers,read standard blueprints,6
liaise with engineers,record test data,18
liaise with engineers,technical drawings,11
liaise with engineers,troubleshoot,6
liaise with engineers,use CAD software,7
liaise with engineers,use a computer,8
liaise with engineers,use computer-aided engineering systems,6
liaise with engineers,use technical drawing software,11
manual draughting techniques,mathematics,11
manual draughting techniques,technical drawings,11
manual draughting techniques,use CAD software,10
manual draughting techniques,use CADD software,6
manual draughting techniques,use manual draughting techniques,7
manual draughting techniques,use technical drawing software,11
manufacturing processes,CAM software,6
manufacturing processes,adhere to organisational guidelines,12
manufacturing processes,assess financial viability,8
manufacturing processes,consult technical resources,8
manufacturing processes,create manufacturing guidelines,13
manufacturing processes,define manufacturing quality criteria,11
manufacturing processes,define technical requirements,6
manufacturing processes,develop manufacturing policies,11
manufacturing processes,dispose of cutting waste material,8
manufacturing processes,ensure equipment availability,17
manufacturing processes,follow company standards,12
manufacturing processes,liaise with managers,12
manufacturing processes,manage budgets,13
manufacturing processes,manage staff,13
manufacturing processes,manage supplies,11
manufacturing processes,mathematics,11
manufacturing processes,meet deadlines,14
manufacturing processes,monitor automated machines,9
manufacturing processes,operate precision measuring equipment,11
manufacturing processes,oversee quality control,6
manufacturing processes,perform machine maintenance,11
manufacturing processes,perform scientific research,25
manufacturing processes,perform test run,9
manufacturing processes,plan health and safety procedures,11
manufacturing processes,production processes,22
manufacturing processes,program a CNC controller,7
manufacturing processes,quality and cycle time optimisation,8
manufacturing processes,quality standards,21
manufacturing processes,read engineering drawings,6
manufacturing processes,read standard blueprints,13
manufacturing processes,remove inadequate workpieces,12
manufacturing processes,remove processed workpiece,11
manufacturing processes,set up the controller of a machine,11
manufacturing processes,statistical process control,10
manufacturing processes,strive for company growth,11
manufacturing processes,supply machine,11
manufacturing processes,supply machine with appropriate tools,6
manufacturing processes,technical drawings,23
manufacturing processes,troubleshoot,19
manufacturing processes,types of metal,11
manufacturing processes,use CAD software,6
manufacturing processes,use CAM software,10
manufacturing processes,use a computer,6
manufacturing processes,use automatic programming,11
manufacturing processes,use technical drawing software,23
manufacturing processes,wear appropriate protective gear,6
mathematics,CAE software,13
mathematics,ICT software specifications,11
mathematics,abide by regulations on banned materials,8
mathematics,analyse test data,13
mathematics,apply scientific methods,18
mathematics,apply statistical analysis techniques,17
mathematics,cartography,8
mathematics,conduct literature research,13
mathematics,conduct quality control analysis,12
mathematics,define technical requirements,6
mathematics,design prototypes,13
mathematics,develop electronic test procedures,6
mathematics,electrical engineering,8
mathematics,electricity principles,9
mathematics,electronics,14
mathematics,environmental legislation,10
mathematics,environmental threats,8
mathematics,execute analytical mathematical calculations,48
mathematics,geomatics,7
mathematics,material mechanics,6
mathematics,mechanical engineering,19
mathematics,mechanics,23
mathematics,mechanics of vessels,6
mathematics,multimedia systems,8
mathematics,operate scientific measuring equipment,16
mathematics,perform data analysis,13
mathematics,perform scientific research,48
mathematics,perform surveying calculations,6
mathematics,physics,29
mathematics,prepare production prototypes,14
mathematics,production processes,10
mathematics,provide technical documentation,6
mathematics,read engineering drawings,33
mathematics,record test data,17
mathematics,report analysis results,13
mathematics,scientific modelling,6
mathematics,scientific research methodology,17
mathematics,statistics,17
mathematics,surveying,6
mathematics,technical drawings,34
mathematics,troubleshoot,13
mathematics,use CAD software,20
mathematics,use CADD software,8
mathematics,use a computer,19
mathematics,use computer-aided engineering systems,12
mathematics,use manual draughting techniques,7
mathematics,use technical drawing software,43
mathematics,write work-related reports,7
mechanical engineering,analyse test data,6
mechanical engineering,design prototypes,6
mechanical engineering,electrical engineering,12
mechanical engineering,electronics,6
mechanical engineering,mechanics,24
mechanical engineering,perform scientific research,21
mechanical engineering,physics,8
mechanical engineering,prepare production prototypes,8
mechanical engineering,production processes,6
mechanical engineering,provide technical documentation,6
mechanical engineering,read engineering drawings,17
mechanical engineering,record test data,8
mechanical engineering,technical drawings,25
mechanical engineering,troubleshoot,10
mechanical engineering,use CAD software,9
mechanical engineering,use a computer,9
mechanical engineering,use computer-aided engineering systems,6
mechanical engineering,use technical drawing software,23
mechanics,CAE software,10
mechanics,ICT software specifications,9
mechanics,aircraft mechanics,14
mechanics,align components,17
mechanics,apply health and safety standards,22
mechanics,common aviation safety regulations,12
mechanics,conduct performance tests,13
mechanics,conduct routine machinery checks,15
mechanics,consult technical resources,15
mechanics,create solutions to problems,23
mechanics,diagnose defective engines,8
mechanics,electrical engineering,6
mechanics,electrical wiring plans,13
mechanics,electromechanics,25
mechanics,electronics,17
mechanics,engine components,19
mechanics,ensure equipment availability,8
mechanics,ensure vessel compliance with regulations,9
mechanics,evaluate employees work,9
mechanics,evaluate engine performance,12
mechanics,execute analytical mathematical calculations,15
mechanics,fasten components,20
mechanics,follow health and safety procedures in construction,15
mechanics,hydraulics,9
mechanics,inspect construction supplies,11
mechanics,inspect quality of products,14
mechanics,install electrical and electronic equipment,12
mechanics,interpret 2D plans,8
mechanics,interpret 3D plans,8
mechanics,keep records of work progress,7
mechanics,liaise with managers,9
mechanics,maintain electrical equipment,7
mechanics,manage health and safety standards,19
mechanics,material mechanics,7
mechanics,mechanical systems,10
mechanics,mechanics of motor vehicles,13
mechanics,mechanics of trains,8
mechanics,mechanics of vessels,14
mechanics,multimedia systems,8
mechanics,operate precision measuring equipment,12
mechanics,operate soldering equipment,11
mechanics,operate welding equipment,10
mechanics,operation of different engines,14
mechanics,perform machine maintenance,7
mechanics,perform maintenance on installed equipment,10
mechanics,perform scientific research,20
mechanics,perform test run,24
mechanics,physics,12
mechanics,production processes,6
mechanics,provide technical documentation,6
mechanics,quality assurance procedures,10
mechanics,quality standards,16
mechanics,react to events in time-critical environments,12
mechanics,read engineering drawings,49
mechanics,read standard blueprints,46
mechanics,record test data,19
mechanics,resolve equipment malfunctions,18
mechanics,secure working area,11
mechanics,supervise staff,8
mechanics,technical drawings,26
mechanics,transport construction supplies,6
mechanics,troubleshoot,43
mechanics,use CAD software,9
mechanics,use a computer,15
mechanics,use computer-aided engineering systems,9
mechanics,use measurement instruments,12
mechanics,use power tools,15
mechanics,use safety equipment in construction,14
mechanics,use technical documentation,36
mechanics,use technical drawing software,24
mechanics,use testing equipment,27
mechanics,wear appropriate protective gear,33
mechanics,work ergonomically,16
mechanics,write inspection reports,9
perform scientific research,abide by regulations on banned materials,9
perform scientific research,analyse experimental laboratory data,7
perform scientific research,analyse test data,15
perform scientific research,analytical chemistry,8
perform scientific research,apply safety procedures in laboratory,14
perform scientific research,apply scientific methods,51
perform scientific research,apply statistical analysis techniques,23
perform scientific research,assess environmental impact,7
perform scientific research,assess financial viability,13
perform scientific research,biological chemistry,6
perform scientific research,biology,22
perform scientific research,calibrate laboratory equipment,11
perform scientific research,chemistry,7
perform scientific research,civil engineering,10
perform scientific research,collect biological data,11
perform scientific research,conduct literature research,13
perform scientific research,conduct quality control analysis,12
perform scientific research,define technical requirements,15
perform scientific research,design prototypes,10
perform scientific research,develop electronic test procedures,6
perform scientific research,electrical engineering,10
perform scientific research,electrical power safety regulations,6
perform scientific research,electricity principles,10
perform scientific research,electronics,10
perform scientific research,energy,8
perform scientific research,energy market,7
perform scientific research,ensure compliance with environmental legislation,11
perform scientific research,ensure compliance with safety legislation,19
perform scientific research,environmental legislation,13
perform scientific research,environmental threats,9
perform scientific research,examine engineering principles,7
perform scientific research,execute analytical mathematical calculations,24
perform scientific research,gather experimental data,13
perform scientific research,genetics,6
perform scientific research,hydraulics,6
perform scientific research,interpret technical requirements,12
perform scientific research,laboratory techniques,18
perform scientific research,maintain laboratory equipment,12
perform scientific research,manage engineering project,18
perform scientific research,microbiology-bacteriology,7
perform scientific research,"mining, construction and civil engineering machinery products",10
perform scientific research,molecular biology,6
perform scientific research,operate scientific measuring equipment,20
perform scientific research,perform data analysis,12
perform scientific research,perform laboratory tests,19
perform scientific research,physics,21
perform scientific research,prepare production prototypes,14
perform scientific research,production processes,21
perform scientific research,project management,17
perform scientific research,provide technical documentation,7
perform scientific research,quality standards,10
perform scientific research,read engineering drawings,17
perform scientific research,record test data,16
perform scientific research,report analysis results,18
perform scientific research,scientific modelling,10
perform scientific research,scientific research methodology,50
perform scientific research,statistics,19
perform scientific research,technical drawings,68
perform scientific research,troubleshoot,16
perform scientific research,use CAD software,9
perform scientific research,use a computer,12
perform scientific research,use computer-aided engineering systems,6
perform scientific research,use technical drawing software,76
perform scientific research,write scientific papers,10
perform scientific research,write technical reports,8
production processes,assess financial viability,7
production processes,provide technical documentation,6
production processes,quality standards,7
production processes,read engineering drawings,7
production processes,technical drawings,21
production processes,troubleshoot,8
production processes,use CAD software,6
production processes,use technical drawing software,21
provide technical documentation,ICT debugging tools,8
provide technical documentation,analyse software specifications,9
provide technical documentation,computer programming,9
provide technical documentation,create flowchart diagram,8
provide technical documentation,debug software,8
provide technical documentation,develop software prototype,8
provide technical documentation,integrated development environment software,7
provide technical documentation,interpret technical texts,8
provide technical documentation,read engineering drawings,6
provide technical documentation,technical drawings,7
provide technical documentation,tools for software configuration management,8
provide technical documentation,troubleshoot,6
provide technical documentation,use CAD software,6
provide technical documentation,use software design patterns,8
provide technical documentation,use software libraries,7
provide technical documentation,use technical drawing software,7
read engineering drawings,CAE software,17
read engineering drawings,ICT software specifications,11
read engineering drawings,abide by regulations on banned materials,6
read engineering drawings,aircraft mechanics,13
read engineering drawings,align components,34
read engineering drawings,analyse test data,15
read engineering drawings,apply health and safety standards,20
read engineering drawings,apply preliminary treatment to workpieces,9
read engineering drawings,assemble electrical components,6
read engineering drawings,assist scientific research,15
read engineering drawings,circuit diagrams,9
read engineering drawings,common aviation safety regulations,12
read engineering drawings,conduct literature research,9
read engineering drawings,conduct performance tests,14
read engineering drawings,conduct quality control analysis,11
read engineering drawings,conduct routine machinery checks,6
read engineering drawings,create solutions to problems,18
read engineering drawings,design prototypes,7
read engineering drawings,diagnose defective engines,7
read engineering drawings,electrical engineering,12
read engineering drawings,electrical wiring plans,6
read engineering drawings,electricity principles,8
read engineering drawings,electromechanics,24
read engineering drawings,electronic equipment standards,8
read engineering drawings,electronics,22
read engineering drawings,engine components,17
read engineering drawings,ensure equipment availability,6
read engineering drawings,ensure vessel compliance with regulations,7
read engineering drawings,evaluate engine performance,10
read engineering drawings,execute analytical mathematical calculations,15
read engineering drawings,fasten components,34
read engineering drawings,inspect quality of products,30
read engineering drawings,manage health and safety standards,12
read engineering drawings,material mechanics,7
read engineering drawings,mechanics of motor vehicles,9
read engineering drawings,mechanics of vessels,9
read engineering drawings,meet deadlines,9
read engineering drawings,multimedia systems,8
read engineering drawings,operate precision measuring equipment,15
read engineering drawings,operate scientific measuring equipment,12
read engineering drawings,operate soldering equipment,6
read engineering drawings,operation of different engines,13
read engineering drawings,optical components,6
read engineering drawings,optical engineering,6
read engineering drawings,optical equipment standards,7
read engineering drawings,optical glass characteristics,7
read engineering drawings,optical manufacturing process,6
read engineering drawings,optics,6
read engineering drawings,perform data analysis,9
read engineering drawings,perform test run,15
read engineering drawings,physics,18
read engineering drawings,prepare production prototypes,24
read engineering drawings,quality assurance procedures,13
read engineering drawings,quality standards,25
read engineering drawings,read assembly drawings,13
read engineering drawings,read standard blueprints,48
read engineering drawings,record test data,33
read engineering drawings,refractive power,6
read engineering drawings,report analysis results,9
read engineering drawings,technical drawings,19
read engineering drawings,test electronic units,6
read engineering drawings,test optical components,6
read engineering drawings,troubleshoot,34
read engineering drawings,types of optical instruments,7
read engineering drawings,use CAD software,12
read engineering drawings,use CADD software,7
read engineering drawings,use a computer,14
read engineering drawings,use computer-aided engineering systems,12
