preferredLabel,cluster_group,cluster_subgroup0,cluster_subgroup1,cluster_subgroup2,cluster_subgroup0_name,cluster_subgroup1_name,cluster_subgroup2_name,node,description
CAD for garment manufacturing,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,CAD for garment manufacturing,Softwares of computer aided design for garment manufacturing which allow create 2 or 3 dimensional drawings.
evaluate garment quality,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,evaluate garment quality,"Evaluating stitching, construction, attachments, fasteners, embellishments, shading within the garment; evaluating pattern continuity-, matching; evaluating tapes and linings."
grade patterns for wearing apparel,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,grade patterns for wearing apparel,Grading patterns by performing processes of resizing initial patterns in order to create nest of patterns to fit various body types and sizes.
inspect wearing apparel products,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,inspect wearing apparel products,"Inspecting and testing products, parts and materials for conformity with specifications and standards; discarding or rejecting products, materials, and equipment not meeting specifications."
operate computerised control systems,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,operate computerised control systems,"Operate electronic or computerised control panels to monitor and optimise processes, and to control process start-up and shut-downs. Monitor and inspect equipment and systems to detect malfunctions."
perform process control in the wearing apparel industry,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,perform process control in the wearing apparel industry,"Performs process control to wearing apparel products in order to assure mass production in an uninterrupted production manner. Control processes to ensure that processes are predictable, stable and consistent."
sew pieces of fabric,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,sew pieces of fabric,"Operate basic or specialised sewing machines whether domestic or industrial ones, sewing pieces of fabric, vinyl or leather in order to manufacture or repair wearing apparels, making sure the threads are selected according to specifications."
sew textile-based articles,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,sew textile-based articles,"Sew different products based on textiles and wearing apparel articles. Combine good hand-eye coordination, manual dexterity, and physical and mental stamina."
cut fabrics,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,cut fabrics,"Cut fabrics and other wearing apparel materials considering measures, placement of the fabrics in the cutting table in multiple layers, and making the most efficient usage of the fabric avoiding waste. Cut fabrics by hand, or using electric knives, or other cutting tools depending on the fabric. Use computerised systems or automatic cutting machines."
develop specifications of technical textiles,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,develop specifications of technical textiles,Developing specifications for fibre based technical products with functional performances.
draw sketches to develop textile articles using softwares,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,draw sketches to develop textile articles using softwares,"Draw sketches to develop textiles or wearing apparel using softwares. They create visualisations of the motives, patterns or products in order to be manufactured."
iron textiles,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,iron textiles,Pressing and ironing in order to shape or flatten textiles giving them their final finishing appearance. Iron by hand or with steam pressers.
manage briefs for clothing manufacturing,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,manage briefs for clothing manufacturing,Manage briefs from clients for the manufacturing of wearing apparel. Collect customers' demands and prepare them into specifications for the production.
use textile technique for hand-made products,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,use textile technique for hand-made products,"Using textile technique to produce hand-made products, such as carpets, tapestry, embroidery, lace, silk screen printing, wearing apparel, etc."
properties of fabrics,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,properties of fabrics,"The influence of chemical composition and molecular arrangement of yarn and fibre properties and fabric structure on the physical properties of textile fabrics; the different fibre types, their physical and chemical characteristics and different material characteristics; the materials used in different processes and the effect on materials as they are processed. "
challenging issues in the textile industry,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,challenging issues in the textile industry,The efficiency aims and environmental issues posed by challenges in the textile industry.
maintain work standards,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,maintain work standards,Maintaining standards of work in order to improve and acquire new skills and work methods.
measure yarn count,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,measure yarn count,"Be able to measure yarn length and mass to assess fineness of roving, sliver and yarn in different measuring systems.Also able to convert into the various numbering system such as tex, Nm, Ne, denier, etc."
conduct textile testing operations,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,conduct textile testing operations,"Prepare for textile testing and evaluation, gathering the test samples, conducting and recording tests, validating data and presenting results."
control textile process,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,control textile process,"Planning and monitoring textile production to achieve control on behalf of quality, productivity and delivery time."
evaluate textile characteristics,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,evaluate textile characteristics,Evaluate textiles and their properties in order to manufacture products in conformity with specifications.
textile printing technology,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,textile printing technology,"Addition of colour partially, according to the designed pattern, onto textile based materials. Processes for adding coloured patterns onto textile materials using printing machines and techniques (rotary of flat bed screen printing or others, heat transfer, inkjet, etc.)."
textile technologies,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,textile technologies,"Textile technologies to design, manufacture and evaluate the properties of textiles."
dyeing technology,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,dyeing technology,"Processes involved in textile dyeing using different dyeing technologies. Also, addition of colours to textile materials using dye stuffs."
textile chemistry,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,textile chemistry,Chemical processing of textiles such as the reactions of textiles to chemicals.
health and safety in the textile industry,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,health and safety in the textile industry,"The requirements, rules and applications of health and safety measures in the textile industry."
textile finishing technology,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,textile finishing technology,"Processes used for changing the properties of textile materials. This includes operating, monitoring and maintaining textile finishing machines."
use textile finishing machine technologies,12-0-58,12,0,58,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,textile | technology | industry | finishing | property,use textile finishing machine technologies,Use textile finishing machine technologies that enable the coating or laminating of fabrics.
adapt to changing situations,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,adapt to changing situations,"Change approach to situations based on unexpected and sudden changes in people's needs and mood or in trends; shift strategies, improvise and naturally adapt to those circumstances."
characteristics of chemicals used for tanning,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,characteristics of chemicals used for tanning,"Composition and physico-chemical properties of auxiliary chemicals used in the different tanning processes (tanning agents, fat liquors, pigments, dyes, etc.)"
execute working instructions,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,execute working instructions,"Understand, interpret and properly apply work instructions regarding different tasks in the workplace."
exert a goal-oriented leadership role towards colleagues,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,exert a goal-oriented leadership role towards colleagues,Embrace a leadership role in the organisation and with colleagues as to provide coaching and direction to subordinates aiming at the achievement of specific objectives.
identify defects on raw hides,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,identify defects on raw hides,"Analyse, identify and evaluate the possible defects present on raw hides/skins. Defects may be of natural origin (e.g. damage by parasites), caused by bad practices at the farm, in transport, at the abattoir (e.g. incorrect flaying, pre-slaughter defects, improper conservation) or generated during the manufacturing process. The classification of Hides/skins and their subdivision into ""selections"" is based on the nature, magnitude and location of defects. The class of selection determines the type of processing, and consequently the type of article."
identify with the company's goals,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,identify with the company's goals,Act for the benefit of the company and for the achievement of its targets.
leather chemistry,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,leather chemistry,Chemical composition and chemical properties of hide/skin and chemicals used and their modification during the different tanning processes. Reactions between hide/skin or semi-finished leather and chemical products during the different phases of process and the factors affecting the performance of the reactions and of the process. Monitoring of the chemical indicators of processing and the characteristics of skins/hides/leather.
manage environmental impact of operations,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,manage environmental impact of operations,"Manage the interaction with and impact on the environment by companies. Identify and assess environmental impacts of the production process and related services, and regulate a reduction of the effects on the environment and on people. Organise action plans and monitor any indicators of improvement."
physico-chemical properties of crust leather,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,physico-chemical properties of crust leather,"The properties, physical and chemical, of intermediate leather products that have already undergone tanning operations. These properties vary depending on the animal of origin and previous manufacturing processes."
physico-chemical properties of hides and skins,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,physico-chemical properties of hides and skins,"The quality of hides and skins is defined by organoleptic, microbiological, histological and chemical characteristics (i.e. moisture, structure of the dermis, percentage of fat and collagen). Each type of hide/skin has specific physical and chemical properties that affect the type of tanning operations and the most suitable end use of the leather."
prepare colour mixtures,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,prepare colour mixtures,Prepare colour mixtures in accordance with the recipes and/or the characteristics of the article to be achieved.
think analytically,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,think analytically,"Produce thoughts using logic and reasoning in order to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems."
work in textile manufacturing teams,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,work in textile manufacturing teams,Work harmoniously with colleagues in teams in the textile and clothing manufacturing industries.
apply colouring recipes correctly,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,apply colouring recipes correctly,"Prepare colour and other chemical mixtures in accordance with the recipes and/or the characteristics of the article to be achieved. Interpreting and applying the instructions, including technical and operational details for the execution of processes."
manage quality of leather throughout the production process,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,manage quality of leather throughout the production process,"Manage systems for the customer-focused organisation of leather production processes. It uses strategy, data, and effective communications to integrate the quality approach into the culture and activities of the company and also to achieve the organisation’s mission and goals."
seek innovation in current practices,12-20-37,12,20,37,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,leather | identify | hide | manage | physico-chemical,seek innovation in current practices,"Search for improvements and present innovative solutions, creativity and alternative thinking to develop new technologies, methods or ideas for and answers to work-related problems."
health and safety in the workplace,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,health and safety in the workplace,"The body of rules, procdeures and regulations related to safety, health and welfare of people in their workplace. "
use IT tools,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,use IT tools,"Application of computers, computer networks and other information technologies and equipment to storing, retrieving, transmitting and manipulating data, in the context of a business or enterprise."
use communication techniques,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,use communication techniques,Apply techniques of communication which allow interlocutors to better understand each other and communicate accurately in the transmission of messages.
leather goods components,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,leather goods components,The various procedures and methods in the processing of leather materials and leather goods components like manufacturability and properties.  
leather goods manufacturing processes,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,leather goods manufacturing processes,"The processes, technology and machinery involved in the leather goods manufacturing.  "
leather goods materials,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,leather goods materials,"The wide range of materials used in leather goods production: leather, leather substitutes (synthetics or artificial materials), textile, etc; the way of distinguishing among various materials based on their properties, advantages and limitations."
leather goods quality,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,leather goods quality,"The quality specifications of materials, processes, and final products, the most common defects in leather, quick tests procedures, laboratory tests procedures and standards, and the adequate equipment for quality checks. "
apply development process to footwear design,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,apply development process to footwear design,"Understand the needs of the consumer and analyse the fashion trends. Innovate and develop the footwear concepts from an aesthetic, functional and technological point of view by using a wide range of methods and techniques, selecting materials, components and suitable technologies, adapting new concepts to manufacturing requirements and transforming the new ideas into marketable and sustainable products for mass or customised production. Communicate visually the new designs and ideas."
apply fashion trends to footwear and leather goods,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,apply fashion trends to footwear and leather goods,"Be able to stay up to date on the latest styles, attending fashion shows and review fashion/clothing magazines and manuals, analysing the past and present fashion trends in areas such as footwear, leather goods and clothing market. Use analytical thinking and creative models to apply and to interpret in a systematic way the upcoming trends in terms of fashion and life styles."
practice innovative thinking in the footwear and leather goods industries,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,practice innovative thinking in the footwear and leather goods industries,Innovate and create in the footwear and leather goods sector. Evaluate new ideas and concepts to turn them into marketable products. Use entrepreneurial thinking in all stages of the product and process development to identify new business opportunities for the targeted markets.
communicate commercial and technical issues in foreign languages,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,communicate commercial and technical issues in foreign languages,Speak one or more foreign languages in order to communicate commercial and technical issues with various suppliers and clients.
develop footwear and leather goods marketing plans,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,develop footwear and leather goods marketing plans,"Be able to develop marketing plans and provide directions for marketing strategies of the company, as well as be able to identify potential markets and to perform marketing activities to promote the footwear products of the company."
footwear and leather goods marketing planning,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,footwear and leather goods marketing planning,"The principles and methods used in creating a marketing plan and how a company can best position itself compared to its competitors, taking into account the specifities of the footwear and leather goods market. "
footwear creation process,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,footwear creation process,"Footwear creation projects starting from inspiration to technical design and manufacturing by following several stages. Latest trends in footwear materials, components, processes, and concepts."
implement footwear marketing plan,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,implement footwear marketing plan,"Implement marketing plans according to company specifications, complying with market demand."
apply footwear and leather goods quality control techniques,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,apply footwear and leather goods quality control techniques,"Apply quality control in footwear and leather goods. Analyse the material, component or model using relevant quality criteria. Compare the material and other components received from the suppliers, or the final product, to standards. Use visual observation and report findings. Control the quantity of leather in the warehouse. Submit components to laboratory control test when necessary. Define the corrective measures when called for."
manage footwear quality systems,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,manage footwear quality systems,"Manage the company quality system. Create or elaborate the quality manual. Carry out the established requirements and objectives included in the quality policy. Foster internal and external communication, including customer satisfaction follow-up. Define and control the implementation of corrective and preventive measures. Foster the continuous improvement of the quality system and quality manual."
footwear finishing techniques,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,footwear finishing techniques,"The related machinery, tools, chemicals and mechanical finishing procedures applied to footwear manufacturing."
plan supply chain logistics for footwear and leather goods,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,plan supply chain logistics for footwear and leather goods,"Plan, organise and monitor logistics and supply chain activities based on the footwear or leather goods company's main objectives regarding quality, cost, delivery, and flexibility."
reduce environmental impact of footwear manufacturing,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,reduce environmental impact of footwear manufacturing,Assess the environmental impact of footwear manufacture and minimise environmental risks. Reduce environmentally harmful work practices in different stages of the footwear manufacturing.
monitor operations in the leather industry,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,monitor operations in the leather industry,"Operational monitoring refers to collecting key system performance of leather production at periodic intervals or at the end of some specific phases of the leather process. This information gives a basis for observing, detecting and recording the operation of the machines and systems. The activity provides also the critical data to check the correct performance of the process and to monitor quality and throughput against product and production requirements."
manage production of footwear or leather goods,12-20-46,12,20,46,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | leather | good | technique | process,manage production of footwear or leather goods,"Plan the production of footwear or leather goods according to the company’s objectives, deadlines and available resources. Distribute, coordinate and control all activities and the various production phases using information from technical sheets and organisation and methods. Strive to optimise quality, productivity and safety. Collaborate with all linked departments. Report on production, quality, productivity deviations and propose corrective measures."
apply assembling techniques for cemented footwear construction,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,apply assembling techniques for cemented footwear construction,"Be able to pull the uppers over the last and fix the lasting allowance on insole, manually or by special machines for forepart lasting, waist lasting, and seat lasting. Apart from the main group of lasting operations, the responsibilities of those assembling footwear cemented types may include the following: bottom cementing and sole cementing, heat setting, sole attaching and pressing, chilling, brushing and polishing, last slipping (before or after finishing operations) and heel attaching etc."
apply basic rules of maintenance to leather goods and footwear machinery,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,apply basic rules of maintenance to leather goods and footwear machinery,Apply basic rules of maintenance and cleanliness on footwear and leather goods production equipment and machines that you operate.
footwear components,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,footwear components,"Footwear components both for uppers (vamps, quarters, linings, stiffeners, toe puffs etc.) and bottoms (soles, heels, insoles etc.). Ecological concerns and the importance of recycling. Selection of suitable materials and components based on their influence on the footwear style and characteristics, properties and manufacturability. Procedures and methods in chemical and mechanical processing of leather and non-leather materials."
footwear equipments,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,footwear equipments,Functionality of the wide range of equipments and the basic rules of regular maintenance.
footwear machinery,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,footwear machinery,"Tthe functionality of the wide range of machines, and the basic rules of regular maintenance."
footwear manufacturing technology,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,footwear manufacturing technology,"Footwear processes technology and machinery involved. The footwear manufacturing starts in the cutting/clicking room , cutting the uppers and bottom components. The upper components are joined together in the closing room by following a precise order of specific operations: skiving, folding, sewing etc. The closed upper, the insole and other bottom components are brought together in the assembling room, where the main operations are lasting and soling. The process ends with finishing operations in the finishing and packing room."
footwear materials,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,footwear materials,"The characteristics, components, advantages and limitations of a wide range of materials used in footwear production: leather, leather substitutes (synthetics or artificial materials), textile, plastic, rubber etc. "
footwear quality,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,footwear quality,"Quality specifications of materials, processes and final products, the most common defects in footwear, quick tests procedures, laboratory tests procedures and standards, adequate equipment for quality checks. Quality assurance of footwear production processes and fundamental concepts on quality including footwear quality framework and standards."
assembling processes and techniques for cemented footwear construction,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,assembling processes and techniques for cemented footwear construction,"Technology, equipment, machines and tools for lasting and soling in case of cemented footwear constructions."
footwear bottoms pre-assembly,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,footwear bottoms pre-assembly,"The equipment and techniques used for the preparation of bottom components in the footwear industry, including soles, heels, insoles, etc."
create patterns for footwear,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,create patterns for footwear,"Produce the mean form or shell, a two-dimensional representation of the three-dimensional shape of the last. Create scaled patterns for uppers and bottom components by manual methods from the designs."
pattern grading,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,pattern grading,"Know about cutting patterns accurately and grading the patterns to obtain the size series in case of mass production. Know how to mark notches, holes, seam allowances, and other technical specifications. Make adjustments and obtain the final patterns for cutting in order to compensate any identified problems during sampling."
manual cutting processes for leather,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,manual cutting processes for leather,"Cutting rules, variance of the leather properties on its surface and elongation directions of the footwear pieces."
prepare footwear samples,12-20-41,12,20,41,footwear | leather | textile | good | manufacturing,footwear | leather | good | apply | process,footwear | apply | assembling | technique | cement,prepare footwear samples,"Create, test and verify prototypes or samples of footwear against a predefined set of criteria throughout all stages of the manufacturing process. Revise the initial design concepts and implement technical improvements."
